red,0,230,39,145,255,255,TRUE,
blue,101,130,67,165,255,255,FALSE,
green,53,117,0,106,255,255,FALSE,
yellow,15,58,99,83,255,255,FALSE,
orange,0,138,68,69,255,255,FALSE,
white,77,39,165,255,115,255,FALSE,
background,27,50,43,42,255,255,TRUE,
wood claw,0,0,0,255,255,255,FALSE,
